FWSColonyID,Year,Str,PlotID,Nest,Lng,Lat,Comment
ME.0115,2023,SC,cd.1e,14,-69.37233854029968,44.553497551984066,Aerial count 
ME.0116,2023,SC,ce.1d,0,-69.1551196560951,44.57426401873029,WBC0116;Meadow Brook;NA;NA;NA;NA
ME.0117,2015,SC,c8.1f,0,-69.9838751056,44.5231287462,
ME.0119,2023,SC,c9.1e,9,-69.90163609498978,44.60816677871178,NA 
ME.0121,2015,SC,c8.1d,0,-69.9379424937,44.7437611253,
ME.0122,2023,SC,cc.1c,0,-69.36256313739631,44.7288075318,
ME.0123,2023,ND,cn.18,27,-67.98074922459953,44.777560468584134,NA 
ME.0126,2023,SC,cc.1a,0,-69.36551297530814,44.85879383123351,WBC0126;Whites Pond;NA;NA;NA;NA
ME.0128,2023,SC,c9.1b,3,-69.77890292577031,44.86018487264612,
ME.0129,2015,SC,c8.1b,0,-69.8951100707,44.9154975492,
ME.0130,2015,SC,cg.17,0,-68.7844221672,45.0332529998,
ME.0131,2023,ND,bz.1b,47,-70.98856663308521,45.08161433618142,Ground count Nests observed but not counted.
ME.0133,2023,ND,c9.19,0,-69.70243525253214,45.08863140440292,
ME.0134,2023,SC,cg.16,0,-68.7098421282,45.13771907970378,
ME.0135,2023,SC,cg.16,0,-68.71204160519171,45.15563463979312,WBC0135;Hemlock Stream (Middle);NA;NA;NA;NA
ME.0136,2023,SC,cg.15,0,-68.68749035808607,45.17603988608976,WBC0136;Hoyt Brook (wetland to NE of brook and E of I-95);NA;NA;NA;NA
ME.0139,2015,ND,c7.16,0,-69.8260261493,45.3525384344,
ME.0146,2023,ND,c9.13,10,-69.53071113677433,45.55549654085201,
ME.0166,2023,SC,cc.1a,9,-69.40974748671263,44.88727965942148,Ground count 
ME.0172,2015,SC,cc.1j,0,-69.6649090182,44.1244204054,
ME.0174,2015,SC,c3.1n,0,-70.9090110102,44.0168326301,
ME.0175,2023,SC,cc.1b,10,-69.36765386826613,44.74291881328281,
ME.0178,2023,SC,c8.1h,0,-70.09148975639158,44.3285546949,
ME.0179,2023,Co,ck.1d,15,-68.50406641704512,44.458155702736605,
ME.0182,2015,ND,cd.11,0,-68.8999834295,45.6298005808,
ME.0183,2015,ND,cg.11,0,-68.4955079562,45.5363080497,
ME.0184,2023,ND,c1.1c,20,-70.72994851480206,44.930170690708756,
ME.0185,2023,SC,c4.1p,2,-70.88812494708532,43.77020529750852,
ME.0501,2015,SC,c5.1s,0,-70.8242297463,43.5387692287,
ME.0503,2015,SC,cc.1d,0,-69.4217205296,44.6548116357,
ME.0504,2015,SC,cc.1d,0,-69.4436724063,44.6175841559,
ME.0505,2023,SC,ce.1b,6,-69.08748684469485,44.761798214416324,Ground count 
ME.0506,2023,SC,ce.19,4,-69.0585782269811,44.88607885089105,Aerial count 
ME.0510,2023,ND,ch.0p,17,-67.98936012528873,46.541366098085504,Ground count Adults eggs nestlings not observed or recorded.
ME.0601,2023,SC,c6.1m,10,-70.51249211169461,43.97505183721337,Ground count 
ME.0602,2023,SC,c8.1i,37,-70.05276806349325,44.30659981251178,Aerial count 
ME.0603,2015,Co,cg.1j,0,-69.2028011856,44.0527258296,
ME.0604,2023,ND,c6.1j,13,-70.45531313299102,44.220384915884495,Ground count 
ME.0605,2023,SC,ca.1g,12,-69.7688778437857,44.38224539959191,NA 
ME.0606,2015,SC,cb.1g,0,-69.6982757816,44.3906293138,
ME.0607,2023,SC,cc.1i,7,-69.59966047069219,44.18331165769769,Ground count 
ME.0608,2023,Co,ck.1g,36,-68.57903909818506,44.16822313810212,Ground count 
ME.0609,2023,ND,c2.1g,4,-70.72855442388911,44.61879910450009,Ground count 
ME.0611,2023,SC,c8.1e,12,-69.97156335100566,44.58791788929645,
ME.0612,2023,SC,cg.1c,15,-68.96675170578311,44.65835816322019,Ground count 
ME.0613,2023,SC,ch.1a,6,-68.68131852587983,44.772667958993836,Ground count 
ME.0614,2023,SC,ch.18,4,-68.6435611056003,44.87675158111573,Ground count 
ME.0615,2023,Co,cj.1c,0,-68.5593085687467,44.508321963749,WBC0615;Meadow Stream;NA;NA;NA;NA
ME.0616,2015,SC,cg.17,0,-68.7758519366,45.036747231,
ME.0617,2023,SC,cg.16,0,-68.74406542802726,45.166647924148855,WBC0617;Hemlock Stream (North);NA;NA;NA;NA
ME.0618,2023,Co,cc.1k,34,-69.67753382007825,43.96981140401488,Ground count Adults eggs nestlings not observed or recorded.
ME.0619,2023,SC,c9.1e,15,-69.88278311799868,44.61768085431718,Aerial count 
ME.0620,2015,SC,c9.1i,0,-69.9584763551,44.2428151666,
ME.0621,2023,SC,cg.1b,2,-68.85298244888386,44.67275333027922,
ME.0622,2023,SC,cg.1d,6,-69.03397054652146,44.51756085468132,Ground count 
ME.0623,2023,Co,cd.1j,20,-69.55627949492356,44.05902444359788,NA 
ME.0624,2023,SC,ce.1b,10,-69.12836835619458,44.763069618891585,
ME.0625,2023,SC,ce.1a,9,-69.09094658089246,44.82313258280154,
ME.0626,2023,ND,ce.15,2,-68.8959702842215,45.21088726681239,
ME.0627,2023,ND,c8.0v,5,-69.28134419390167,46.26219241080915,
ME.0628,2023,SC,cj.18,4,-68.4664069026034,44.85011731359446,Ground count 
ME.0629,2023,SC,ce.1a,1,-69.13798045439222,44.847244918216084,
ME.0630,2023,Co,cb.1m,41,-69.90639330428519,43.86251409989925,Ground count 
ME.0631,2023,SC,ca.1g,1,-69.81047100178398,44.41700716390176,
ME.0632,2023,SC,cc.1c,10,-69.40302836450395,44.71153631140563,Ground count 
ME.0633,2023,SC,cd.1d,4,-69.38081666660756,44.614038975117765,
ME.0634,2023,SC,cf.19,4,-69.00282176460395,44.873312577606924,
ME.0635,2023,SC,cf.1a,14,-68.92132793719472,44.82169110528761,Ground count 
ME.0636,2023,SC,c9.1h,50,-69.9125471521752,44.30409664032294,NA 
ME.0637,2023,Co,cc.1n,2,-69.72333886792904,43.78410016112414,
ME.0638,2023,ND,c4.17,8,-70.25495718128494,45.341744544890666,
ME.0639,2023,ND,cd.17,7,-69.07228867107212,45.10537610846002,
ME.0640,2023,SC,ci.19,4,-68.64973311571148,44.80877204530431,Aerial count 
ME.0641,2023,ND,c2.1k,3,-70.96504366405712,44.250015294023925,
ME.0646,2023,SC,c6.1w,16,-70.79594438641911,43.12331255569283,Ground count 
ME.0647,2023,SC,c6.1v,0,-70.78627301231913,43.17239480658522,"WBC0647;Sturgeon Creek (SW of Third Hill);NA;NA;Source: ""65N Johnson Heronry"" file shows at least 4 heronries in Eliot - there may have been more.;NA"
ME.0648,2023,SC,cb.1f,12,-69.65058084811275,44.45036928580596,Ground count 
ME.0649,2023,SC,c4.1q,2,-70.87843328459809,43.65096012652211,Aerial count 
ME.0651,2015,SC,cg.1a,0,-68.8953913454,44.7829901772,
ME.0652,2015,SC,ce.1a,0,-69.1088160397,44.840139229,
ME.0653,2015,SC,c9.1i,0,-69.9785713832,44.2742199887,
ME.0654,2023,SC,ce.1c,2,-69.13809559039579,44.66084616448323,Aerial count 
ME.0655,2023,SC,cf.18,1,-68.83826599592312,45.00063422811347,Ground count 
ME.0656,2023,SC,ca.1g,14,-69.85210496921704,44.38048518158999,Ground count 
ME.0657,2023,SC,ch.1b,3,-68.80242860972163,44.70234282079463,Ground count 
ME.0658,2023,SC,c8.1c,9,-69.93715633538329,44.80675161178055,Ground count 
ME.0661,2023,SC,ce.1c,8,-69.1452202093804,44.641502052475815,Aerial count 
ME.0662,2023,Co,cm.1c,1,-68.16236769662456,44.40677882429005,WBC0662;Frenchman Bay - Long Porcupine Island;NA;NA;Source: Reported to IFW by Rich MacDonald who read about it in writings by James Bond: active sometime between 1937 and 1967;NA
ME.0664,2023,Co,cn.1c,0,-68.135627231326,44.39401862357463,WBC0664;Frenchman Bay - Ironbound Island;NA;NA;Source: Reported to IFW by Rich MacDonald who read about it in writings by James Bond: active sometime between 1937 and 1967; Chris Witt (1997); Bud Long; destroyed by ice storm in winter 1971-72?;NA
ME.0666,2023,ND,cd.17,8,-69.09832422450785,45.10441241948263,
ME.0667,2023,Co,cb.1m,0,-69.90095561328448,43.86638823076136,WBC0667;New Meadows River - Gurnet Strait - Iron Island;NA;Small island east of Upper Coombs Island and south of Woodward Point in Brunswick.  Not sure of exact location of colony on the island.;Source: 3/20/09 email from Sue Jowett to D. D'Auria; this colony began with 5-8 nests the spring (1991) after the York Pond heronry was cut down;NA
ME.0668,2023,Co,cr.17,1,-67.4075015573774,44.70394676667985, GDA: colony not observed added most recent status
ME.0669,2023,Co,cl.1a,34,-68.3111983806936,44.616106798976794,NA 
ME.0670,2023,SC,c7.1n,4,-70.38015764622051,43.87201559811639,Aerial count 
ME.0671,2023,SC,c6.1e,2,-70.17696626259578,44.62691234699892,Ground count 
ME.0672,2023,ND,c1.15,2,-70.49052676968338,45.52786416261989,Ground count 
ME.0675,2023,ND,cf.16,3,-68.88627806431919,45.16651755751266,"WBC0675;Dead Stream;NA;From I-95 Howland Exit #217, take Rte 6/155 west to County Rd (aka Boyd Lake Rd) in Orneville. Turn right (N) on this rd, go ~2.4 mi & park. Walk E thru woods towards waypoint: 508937 E; 5001454 N. Or, from I-95 Howland Exit #217, take Rte 6/155 west to gated road before County Rd (need key from AFM). Follow road north (at 1 mile, go to left) for ~1.7 miles.  Park on road and walk west to wetland.;Source: 4/24/09 post-delisting monitoring for bald eagles;NA"
ME.0677,2023,SC,cd.1c,9,-69.28756127147898,44.63164308931108,Ground count 
ME.0678,2023,SC,cg.1c,8,-68.92576253212874,44.577050582566926,"WBC0678;Meadow Brook (wetland S of Delaware Mtn);NA;From North Searsport Rd turn onto White Orchard Rd. Drive to where rd gets rough and park. Walk down old road towards powerline. As approach powerline, colony wetland is to the right (S) ~250 yds thru woods. Wetland eventually meets powerline.;Source: 4/25/09 aerial survey; colony to NE of powerline, W of Mt Waldo. GPS = 44N 43.613', 68W 55.538';NA"
ME.0679,2023,SC,c6.1o,11,-70.57556492298738,43.79130343730059,Ground count 
ME.0680,2023,SC,cd.1f,1,-69.36810420759609,44.41238299791237,"WBC0680;Sheepscot River;NA;Coming from Lake Saint George State Park beach, turn left on Rte 3 (west). Just after Sheepscott River, turn right on level Hill Rd. After ~1 mi turn right onto Hostile Valley Rd. Continue to top of hill and look for mailbox 1315. House is on the right.  Walk down hill behind house to wetland.  Contact landowner prior.;Source: 3/26/09 eagle survey; 3 nests, 0 birds.;NA"
ME.0681,2023,SC,cc.1f,5,-69.48326295912533,44.3949451666373,"WBC0681;West Branch Sheepscot River;NA;Branch Mills Rd in Palermo, travel south on Rte 3 to Phillips Rd (seasonally maintained).  Follow this road ~0.56 mi, take trail to right; follow ~0.28 mi, then cut through woods to wetland (down hill).;Source: 3/26/09 eagle survey; 9 nests, 2 birds.;NA"
ME.0682,2023,ND,cn.19,9,-67.98664423266844,44.70299818311101,WBC0682;Spring Brook;NA;NA;Source: 4/1/09 post-delisting monitoring for eagles; 1 nest in spruce considered probable GBHE.;NA
ME.0683,2023,SC,c9.1i,0,-69.99722335328103,44.30239829401717,
ME.0684,2023,SC,ci.19,3,-68.5636648947123,44.77771100568635,Ground count 
ME.0685,2023,SC,cc.1d,48,-69.45583889918271,44.60152580849885,Ground count 
ME.0686,2023,SC,c4.1o,1,-70.76128422180794,43.86987366478287,"WBC0686;Hancock Brook;NA;From Hiram, take Rte 117 N 0.5 mi, make right onto Sebago Rd. Go 1.3 mi to Wards Hill Rd, take right. Park at 95 Wards Hill Rd & walk E down slope to wetland. Nest on east side.;Source: 4/20/09 aerial survey. GPS = 43N 51.977', 70W 45.515'.;NA"
ME.0687,2023,SC,c6.1m,5,-70.47941928868157,43.956285539103106,"WBC0687;Nubble Pond (flowage to NE);NA;From junction of Rtes 11 & 121 in Casco, go south on Rte 121 to Plains Rd.  Go east (left) ~1 mi to path on left with boulders. Follow path along south side of Nubble Pond until pond's inlet.  Inlet leads to wetland where colony is.;Source: 4/20/09 aerial survey. GPS=43N 57.354', 70W 28.608'.;NA"
ME.0688,2023,SC,cf.1e,3,-69.09746482461195,44.45721887632389,NA 
ME.0689,2023,SC,c8.1e,2,-69.91692450830314,44.655645683599964,Aerial count 
ME.0690,2023,SC,ce.1e,3,-69.29514363867636,44.4673957938136,Ground count 
ME.0691,2023,SC,ca.1h,2,-69.8783173895174,44.29498524101442,Ground count 
ME.0692,2023,SC,c4.1l,33,-70.71043505642325,44.078417017085215,NA 
ME.0693,2023,SC,c5.1n,6,-70.68170087917898,43.976906684320966,Ground count 
ME.0694,2023,SC,ch.1c,1,-68.76195776372224,44.61229120012207,WBC0694;Stubby Brook;NA;NA;Source: 5/6/09 aerial survey;NA
ME.0695,2023,SC,cg.16,2,-68.724022280817735,45.15501408615687,"WBC0695;Hemlock Stream (Middle - 2);NA;From I-95, exit 217 (Howland). Take Rte 6/155 W ~2.2 mi to 155-30 Rd (aka Gun Barrel Rd).Follow ~1.9 mi, go right for ~0.4 mi, rd turns left. Follow main rd ~3.5 mi & park. Hike E down hill to wetland. Nests probably at north end of wetland.;NA;NA"
ME.0696,2023,SC,ca.1c,5,-69.61410640953046,44.759378801615604,WBC0696;Safford Brook;NA;Wetland to east of Round and Oakes Ponds.;Source: 5/13/09 eagle survey by Charlie Todd;NA
ME.0697,2023,SC,c8.1g,10,-70.04815911174936,44.50277200828712,WBC0697;Parker Pond West;NA;Wetland to W of Parker Pond;Source: 5/13/09 eagle survey by Charlie Todd;NA
ME.0698,2023,ND,c2.18,4,-70.52268011397233,45.2801380613895,
ME.0701,2023,Co,cl.1b,2,-68.34338373398178,44.54706359913699,"WBC0701;Kilkenny Stream;NA;From intersection of Washington Junction Rd and US Hwy 1 in Hancock, go ~1 mi to old woods rd on N (left) side of rd. park here & follow W/NW to property line which is well flagged. Follow property line N to wetland edge. Go a bit west to get good view.;Source: 5/8/09 eagle survey by Charlie Todd; Followup aerial survey by D. D'Auria on 5/18/09;NA"
ME.0702,2023,SC,cc.1h,3,-69.6032522898707,44.292515526276915,"WBC0702;Dearborn Brook (wetland to E);Flowage;From NW corner of Windsor Fairgrounds, walk logging road west to 2 small boulders on right and boulder embedded in road (<0.25 mi). Go right (N) up small cleared slope, go over hill 60 ft then go left. Wetland & nests visible thru trees.;Source: 5/4/09 heron survey by D. D'Auria;NA"
ME.0703,2023,SC,c4.1r,0,-70.83576430437759,43.585584670873956,
ME.0704,2023,SC,c6.1r,1,-70.6182361725955,43.531455875091964,
ME.0705,2023,Co,ch.1g,21,-68.96467520281419,44.252468992882655,"WBC0705;West Penobscot Bay - Seven Hundred Acre Island (S);Mostly spruce, but 1 nest in red maple;By boat, go to SW corner of 700 Acre Island. There is a beach (cobble) here (W of Biscuit Ledge) to row a dinghy to. From beach hike into woods to GPS coordinate: 502820 E, 4899872 N. Primarily spruce stand w/some hardwoods. Moist ground w/ sphagnum.;Source: 4/27/09 aerial survey by D. D'Auria;NA"
ME.0706,2023,ND,ca.18,4,-69.49539797957259,45.06491497829602,"WBC0706;Ike Brook;Snags in flowage;From Guilford, take 150 S ~5 mi, turn right onto Lander Rd. Go ~2 mi, take right onto Hubbard Rd. Take 1st left off Hubbard onto woods road, go to landing at end of rd. Walk due W to wetland. GPS: 461103 E, 4990287 N.;Source: 5/15/2009 aerial survey by D. D'Auria;NA"
ME.0707,2023,Co,cn.1c,10,-68.02224180329833,44.43707380124838,"WBC0707;Libby Brook;Spruce? snags in flowage;From jct of Rte 1 & Rte 186 (Eastern side of loop) in Gouldsboro, go S on 186 ~ 3.1 mi to farm on right (#378). Get permission to access at the farm. Walk W to flowage. Colony close to beaver dam. View from SW of dam.;Source: 5/18/2009 aerial survey by D. D'Auria;NA"
ME.0708,2023,ND,ca.14,1,-69.4137595775267,45.40813365687462,
ME.0709,2023,ND,ca.17,4,-69.49578401577793,45.17917118458725,Ground count 
ME.0710,2023,ND,c1.1c,10,-70.77940338067967,44.97189976894184,WBC0710;Rangeley River;live pines;NA;Source: C. Todd eagle flight 6/1/09 found 10 empty nests in pines with osprey nearby.;NA
ME.0711,2023,Co,cc.1l,4,-69.73448831081409,43.88873955402514,WBC0711;Tyler Islands (W middle islet);live pines;NA;Source: C. Todd eagle flight 6/2/09 found 4 occupied nests in live pines in interior of west middle islet of Tyler Islands;NA
ME.0712,2023,ND,ci.0n,3,-67.7898229381867,46.66779554247884, GDA: colony not observed added most recent status
ME.0713,2023,SC,c2.1l,19,-70.96372130858865,44.135343764385645,NA 
ME.0714,2023,ND,c6.1j,1,-70.41257849718683,44.27800974953268,"WBC0714;Basin Falls Brook;NA;From Buckfield, travel ~3 mi  southwest on Rte 117 to S. Hodgdon Rd. Make a left onto S. Hodgdon Rd and travel past house to end of discontinued county road.  At the end there is a turn-around area.  Park here and follow road/ATV trail to the east towards wetland.;Source: 6/5/09 aerial survey: 1 active nest;NA"
ME.0715,2023,SC,c4.1p,5,-70.8178387369818,43.818055204016034,"WBC0715;Ossippee River;snags in flowage;NA;Source: 6/5/09 aerial survey: 11 active nests - 10 on west side, 1 on east side.;NA"
ME.0716,2023,SC,c4.1q,5,-70.82906851830045,43.70684241366838,"WBC0716;Brown Brook;snags in flowage;From Limerick, take Rte 160 N/W, look for left turn on Cramm Rd. On Cramm Rd, look to right for 2 stone pillars (entrance to apple orchard). Drive up dirt rd ~100 yds passing house & barn. Opening on right to park. Go E/NE to wetland.;Source: 6/5/09 aerial survey: 2 active nests.;NA"
ME.0717,2023,SC,c5.1r,4,-70.81520106655583,43.5528493689099,"WBC0717;Norton Brook;0;Frm Rt.202 in Waterborro turn at traffic light onto West Rd. Follow this until Ross Corner Rd. Follow RCR until ""T"" in the road. Turn left onto Owls NestRd, follow for short dist.then turn left on Nason Rd. Look for address 270 Nason Rd which will be on the left. To the left of the house is a atv trail. Follow this path for 200+ yards. Near the end on the right side is a small bank, walk over and down, look ahead for water and nesting trees.;Source: 6/5/09 aerial survey: 6 active nests.;NA"
ME.0718,2023,SC,ch.16,1,-68.54587483244231,45.07197722604395,WBC0718;Otter Brook;snag in flowage;NA;Source: 6/5/09 aerial survey: 1 empty nest.;NA
ME.0719,2023,ND,c2.1l,1,-70.97581998483598,44.20348035728384,"WBC0719;Mosquito Brook;snag in flowage;From Rt 113 in Stow, take Meadow Rd, turn left onto Union Hill Rd. at intersection.Follow Union Hill until ""Y"" bear left onto S. Barboiur Rd. Follow to end of road. Walk east 1/2 mile to bog/small pond. Nest located on east side.;Source: 6/5/09 aerial survey: 1 empty nest low in snag.;NA"
ME.0720,2023,SC,c4.1q,6,-70.84090852824772,43.67423426551379,WBC0720;Pendexter Brook;snag inflowage;NA;Source: 6/5/09 aerial survey: 1 empty nest in good repair in center of flowage.;NA
ME.0721,2023,ND,c4.16,5,-70.20239859021254,45.45574366683984,
ME.0722,2023,ND,c4.15,5,-70.19730525391482,45.46900716437989,Ground count 
ME.0723,2023,SC,cg.16,3,-68.70837973471532,45.142502424984194,"WBC0723;Hemlock Stream (Middle - 3);snags in flowage;From I-95 Howland Exit #217, travel W onto Rte 6/155~2.2 miles to the 155-30 Rd.(Gun Barrel Rd) Follow this road straight 1.9 miles take sharp right.Follow this main rd ~3.9 miles then take left and go ~0.4 miles until you see an old road to the right.  Take this old rd .5 miles before parking. Hike through woods to wetland. Nest trees are towards southend of wetland.;Source: 6/4/09 aerial survey: 3 active nests.;NA"
ME.0724,2023,SC,cg.16,1,-68.71558391895928,45.14400935162227,WBC0724;Hemlock Stream (Middle - 4);snag in flowage;NA;Source: 6/4/09 aerial survey: 1 inactive nest.;NA
ME.0725,2023,Co,ch.1i,2,-69.03856948393336,44.04231319918931,
ME.0726,2023,ND,ci.0v,6,-68.09460717431243,46.0095027115758,WBC0726;Nickerson Brook;snags in flowage;NA;Source: 7/28/09 aerial survey for adult loons: 6 inactive nests.;NA
ME.0727,2023,SC,cg.15,5,-68.69787025587726,45.199303648399436,Ground count 
ME.0728,2023,SC,ca.1i,0,-69.82792902698483,44.25714512799448,WBC0728;Cold Stream;NA;NA;Source: CMP MPRP helicopter survey summer 2009.;NA
ME.0729,2023,SC,c7.1q,4,-70.4496221998377,43.62751678529469,WBC0729;South Branch Stroudwater River;NA;NA;Source: CMP MPRP helicopter survey summer 2009.;NA
ME.0730,2023,ND,ci.0n,1,-67.80262145030738,46.681297495196404,
ME.0731,2023,SC,cf.1c,4,-69.09301773538002,44.629732461585235,Ground count 
ME.0732,2023,SC,ce.1d,3,-69.16474650812025,44.53177193950539,
ME.0733,2023,SC,c7.1s,2,-70.58707345484855,43.43050923084652,
ME.0734,2023,SC,c7.1v,12,-70.71414702992189,43.182915963276514,NA 
ME.0735,2023,SC,c6.1p,25,-70.63150340741214,43.697926720416916,Aerial count 
ME.0736,2023,SC,ch.1b,6,-68.77173746662136,44.666121040488974,Ground count 
ME.0737,2023,SC,ch.1a,6,-68.74239103009003,44.757184668418006,Ground count 
ME.0738,2023,SC,cc.1a,60,-69.29718058070267,44.88053011430663,Aerial count 
ME.0739,2023,Co,cd.1l,6,-69.59529189348402,43.89547973269926,
ME.0739,2023,SC,cd.1l,0,-69.59529189346804,43.895479732698526,
ME.0740,2023,SC,ch.16,1,-68.55810162539208,45.08434132449793,Ground count 
ME.0741,2023,SC,ch.15,1,-68.5922653019239,45.20618636618853,Ground count 
ME.0742,2023,Co,cg.1d,8,-68.94623360538267,44.49854061309142,Ground count 
ME.0743,2023,Co,ci.1c,2,-68.68632127448782,44.533530527061146,
ME.0744,2023,SC,c9.1j,2,-70.03594295729035,44.19555884311643, GDA: colony not observed added most recent status
ME.0745,2023,SC,ca.1d,2,-69.69585396731912,44.67156842473249,
ME.0746,2023,ND,cf.16,10,-68.85907254881086,45.15320184722283,Ground count 
ME.0747,2023,SC,ci.1a,15,-68.57321537019068,44.701672398531315,
ME.0748,2023,SC,c8.1d,4,-69.95028297389723,44.7395540249895,Ground count 
ME.0749,2023,Co,cg.1h,1,-69.07563323250548,44.210833296584454,
ME.0750,2023,ND,cg.0k,1,-67.92737059229319,47.07268453450184,
ME.0751,2023,ND,ce.0j,7,-68.12896052705747,47.15844819696964,
ME.0752,2023,Co,cc.1m,3,-69.72481107150409,43.79736679280991,Ground count 
ME.0753,2023,ND,cd.11,1,-68.87855969190397,45.59478509480603,
ME.0754,2023,SC,cb.1h,3,-69.68416929668327,44.26611308070591,Ground count 
ME.0755,2023,SC,cb.1h,17,-69.720398364219,44.305604219391135,Ground count 
ME.0756,2023,Co,ca.1n,20,-70.07223308180187,43.78183797049478,Ground count 
ME.0757,2023,Co,ca.1n,5,-70.04722641718865,43.78768710350563,Ground count 
ME.0758,2023,SC,ck.1a,7,-68.44471928390385,44.657676017909125,Aerial count 
ME.0759,2023,SC,c8.1b,1,-69.8908288089139,44.89056918774341,
ME.0760,2023,SC,cd.1c,4,-69.34582490310157,44.66806687520649,Ground count 
ME.0761,2023,ND,ch.0m,2,-67.80650270932223,46.788630171785684,
ME.0762,2023,Co,cp.1b,7,-67.82428684219968,44.44341787420571,
ME.0763,2023,SC,ch.16,12,-68.63263261418777,45.090650698091316,Ground count 
ME.0765,2023,Co,ch.1d,11,-68.87139373022067,44.518725490297264,Ground count 
ME.0767,2023,ND,c5.0u,9,-69.67297168662456,46.434995557263306,
ME.0769,2023,SC,cj.18,2,-68.45831909992536,44.859414960831636,
ME.0770,2023,ND,ck.19,12,-68.29845389749019,44.798921349210474,Aerial count 
ME.0771,2023,SC,c6.1u,15,-70.74841321310139,43.336837639023074,Ground count 
ME.0772,2023,ND,c2.1j,3,-70.81864530140446,44.31691171708954,Ground count 
ME.0773,2023,SC,ci.19,6,-68.58063262990959,44.84507602077623,NA 
ME.0774,2023,Co,cb.1o,24,-69.93679706849618,43.72660090888783, GDA: colony not observed added most recent status
ME.0775,2023,SC,cd.19,5,-69.20319082237668,44.94276795637748, GDA: colony not observed added most recent status
ME.0776,2023,SC,cd.19,2,-69.20690700572456,44.92307845091591,Ground count 
ME.0777,2023,SC,c8.1b,2,-69.9118892077394,44.915856981027176,
ME.0778,2023,SC,cj.1a,2,-68.48363048849599,44.66955679251248,
ME.0779,2023,Co,cj.1e,2,-68.64242021724155,44.39962321363818,
ME.0780,2023,SC,cf.1a,22,-68.97778573587905,44.79310414398215,Ground count 
