COLONYNO,SiteID,GEOCODE,DELORME,ColName,Island,Coastal,Hardwoods,Softwoods,Snags,LiveTrees,WithinWetland,WaterbodyShore,Upland,HabitatDesc,Directions,Comments,History,IWWH,SNI,PFW,X_UTMNAD83,Y_UTMNAD83,LAT,LONG,CIRNO,HABITAT,WWHNO,COLSIZE,IWWHNum,TWWHNum,Major Watershed,Subwatershed,FormerEO,GISStatus,Reported2009,Found2009
11,WBC0011,09110,15C2,East Penobscot Bay - Western Island,1,1,0,0,0,0,0,0,0,,,,,0,0,0,514162,4904268,441736,684930,59-675,,,0.2,,,,,,From Database; added 8/2008,0,0
12,WBC0012,09110,15C3,East Penobscot Bay - Eaton Island,1,1,0,0,0,0,0,0,1,Shrub and tree covered island.,SW of Little Deer Isle.,,,0,0,0,521555,4901830,441736,684930,59-714,,,,,,,,10,From Database; added 8/2008,0,0
13,WBC0013,09110,15D4,Deer Island Thorofare - Sheep Island,1,1,0,1,0,0,0,0,1,Conifer covered island.,,,,0,0,0,531939,4891560,441026,683600,59-953,,,,,,,,13,From Database; added 8/2008,0,0
14,WBC0014,09290,15E3,Deer Island Thorofare - Scraggy Island,1,1,0,0,0,0,0,0,1,Tree and shrub covered Island.,SW of S end of Deer Isle.,,,0,1,0,523370,4885833,441232,684228,59-836,,,1.5,,,,,12,From Original GIS layer as of August 2008.,0,0
15,WBC0015,09330,16C1,Blue Hill Bay - Hardwood Island,1,1,0,0,0,0,0,0,0,,,,,0,0,0,543666,4906429,441830,682700,59-236,,,2,,,,,15,From Database; added 8/2008,0,0
16,WBC0016,09140,24E3,Taunton Bay - Egypt Bay - Burying Island,1,1,0,0,0,0,0,0,0,,,,,0,0,0,558488,4933118,443258,681552,59-084,,,2,,,,,17,From Original GIS layer as of August 2008.,0,0
17,WBC0017,29310,17A3,Narraguagus Bay - Douglas Island Harbor - Middle Douglas Island,1,1,0,0,0,0,0,0,1,Forested Island,In Douglas Island Harbor.,,,0,0,0,591491,4922601,442700,675100,79-918,,,1.2,,,,,24,From Database; added 8/2008,0,0
18,WBC0018,29010,25E4,Pleasant River - Upper Birch Island,1,1,0,0,0,0,0,0,0,,S of Addison in Pleasant River,,,0,0,0,598127,4932241,443207,674554,79-740,,,,,,,,23,From Database; added 8/2008,0,0
19,WBC0019,29050,17D2(INSET),Western Bay - Outer Ram Island,1,1,0,0,0,0,0,0,0,,,,,0,0,0,608626,4926984,442915,673010,79-602,,,,,,,,,From Database; added 8/2008,0,0
20,WBC0020,29280,26D4,Machias Bay - Stone Island,1,1,0,0,0,0,0,0,1,Forested island.,W of Cross Island.,,,0,0,0,629280,4939537,443600,672240,79-356,,,,,,,,21,From Original GIS layer as of August 2008.,0,0
21,WBC0021,05170,03A5,Casco Bay - Whitehead Passage - House Island,1,1,0,0,0,0,0,0,0,,Island between Spring Point (South Portland) and Peaks Island (Portland).  herons may have nested on southwest lobe.,,,0,1,0,402276,4833867,433915,701230,55-381,,,,,,,,,From Database; added 8/2008,0,0
22,WBC0022,05170,03A5,Casco Bay - Ram Island,1,1,0,0,0,0,0,0,0,,Access by boat.  Colony is located thoughout shrubby vegetation of southern half of island.,,,0,1,0,404225,4832297,433813,701115,55-383,,,,,,,,,Re-map from DeLorme; added 8/2008,0,0
23,WBC0023,05110,06E4,Casco Bay - Mark Island,1,1,0,1,0,0,0,0,1,"Coniferous trees, upland forbs, shrubs, rocks.",In 2012: 2 nests in outer SW corner of island; old empty nests in SE interior.,,,0,1,0,427558,4841328,434315,695358,55-630,,,4,,,,,4,From Original GIS layer as of August 2008.,0,0
24,WBC0024,31120,03D2,Cape Porpoise Harbor - Green Island,1,1,0,0,0,0,0,0,0,,,,,0,1,0,383874,4801338,432120,702600,81-098,,,,,,,,,From Database; added 8/2008,0,0
25,WBC0025,05110,06D4,Casco Bay - Flag Island,1,1,0,0,0,0,0,0,0,,Heronry in southern half of island.,,,0,1,0,428232,4844612,434510,695328,55-177,,,,,,,,,From Original GIS layer as of August 2008.,0,0
26,WBC0026,05110,06D2,Casco Bay - Middle Bay - Little Whaleboat Island,1,1,0,0,0,0,0,0,0,,Large island of small island cluster located halfway between Chebeague Island and Farr Field on Harpswell Neck.,,,0,0,0,415011,4846517,434600,700325,55-282,,,,,,,,,From Original GIS layer as of August 2008.,0,0
27,WBC0027,13080,14D5,West Penobscot Bay - Saddle Island,1,1,0,0,0,0,0,0,0,,,,,0,0,0,502866,4891717,441043,685752,63-338,,,,,,,,8,From Database; added 8/2008,0,0
28,WBC0028,13120,08C2,Two Bush Channel - The Brothers (South),1,1,0,0,0,0,0,0,0,,,,,0,1,0,480814,4861938,435435,691423,63-581,,,,,,,,,From Database; added 8/2008,0,0
29,WBC0029,13040,07C5,Muscongus Bay - Old Hump Channel - Franklin Island,1,1,0,0,0,0,0,0,0,,,,,0,1,0,469946,4859914,435330,692228,63-707,,,,,,,,,From Original GIS layer as of August 2008.,0,0
30,WBC0030,15050,07C4,Muscongus Bay - Haddock Island,1,1,0,0,0,0,0,0,0,,"Haddock Island, S of Loud's Island, E of Pemaquid Neck.",,,0,0,1,464696,4859523,435315,692625,65-200,,,,,,,,6,From Database; added 8/2008,0,0
31,WBC0031,27070,,Islesboro area,1,1,0,0,0,0,0,0,0,,,,,0,0,0,,,,,77-012,,,,,,,,,Not mapped,0,0
32,WBC0032,27070,14C5,West Penobscot Bay - Seven Hundred Acre Island - Philbrook Head,1,1,1,1,0,1,0,0,1,"Tree-covered, 305-acre island.","Access by boat. Go to W side of island just S of Philbrook Head. Anchor here & head towards camp that faces the bay in S/SW direction. From the camp follow trail on E side of camp to N to where there is a large stone monument (this is heart of colony). In 2012, nests found on west shore of Philbrook Cove (go east down slope from monument).",,,0,0,0,502870.48681,4900641.20196,441535,685750,77-054,,,,,,,,9,From Database; added 8/2008,0,0
33,WBC0033,09370,16B5,Frenchman Bay - Winter Harbor - Turtle Island,1,1,0,0,0,0,0,0,0,,,33 (Turtle Island) and 502 (Burying Island) were mapped in same location. Deleted 502. Burying Island is col. 16.,,0,0,0,571694,4912343,442135,680600,59-065,,,,,,,,,Re-name from 502 to 33; added 8/2008,0,0
34,WBC0034,09030,16B2,Western Bay - Crystal Cove - Black Island,1,1,0,0,0,0,0,0,0,,,,,0,0,0,547724,4914463,442250,682405,59-132,,,,,,,,,From DeLorme & Database; added 8/2008,0,0
35,WBC0035,09270,16A4,Taunton Bay - Sullivan Harbor - Bean Island,1,1,0,0,0,0,0,0,0,,,,,0,1,0,563013,4925015,442830,681230,59-190,,,,,,,,,From Database; added 8/2008,0,0
36,WBC0036,09110,15C3,East Penobscot Bay - Little Pickering Island,1,1,0,0,0,0,0,0,0,,SW of Little Deer Isle.,,,0,0,0,521642,4901361,441555,684347,59-715,,,,,,,,11,From Database; added 8/2008,0,0
37,WBC0037,29050,17D2(INSET),Western Bay - Big Ram Island,1,1,0,0,0,0,0,0,1,Forested Island,"W of Great Wass, S of Little Ram.",,,0,0,0,608832,4927343,442930,673755,79-601,,,,,,,,22,From Database; added 8/2008,0,0
38,WBC0038,29050,17E2(INSET),Western Bay - Browney Island,1,1,0,0,0,0,0,0,0,,,,,0,1,0,609866,4924174,442745,673705,79-693,,,,,,,,,From Original GIS layer as of August 2008.,0,0
40,WBC0040,09320,16E1,Toothacher Bay - Little Baker Island,1,1,0,0,0,0,0,0,0,,,,,0,0,0,545986,4885964,440732,682530,59-409,,,,,,,,14,From Database; added 8/2008,0,0
41,WBC0041,15150,07D1,Sheepscot Bay - Lower Mark Island,1,1,0,0,0,0,0,0,0,,,,,0,1,0,445674,4849082,,,65-461,,,,,,,,,From Original GIS layer as of August 2008.,0,0
42,WBC0042,27070,14D5,West Penobscot Bay - Gilkey Harbor - Ensign Islands (N),1,1,0,0,0,0,0,0,0,,,,,0,0,0,503280,4897821,,,77-075,,,,,,,,,From Original GIS layer as of August 2008.,0,0
43,WBC0043,29230,17A4,Narraguagus Bay - Trafton Island,1,1,1,1,1,1,0,0,1,,Access by boat from Milbridge landing. Go to N shore to W of small island connected by bar. From the grassy mowed area follow trail that runs along N edge of island to NE nesting area. Central nesting area just E of rocky ridge & W of large blowdown area.,,,0,0,0,592981,4926284,442923,674940,79-909,,,,,,,,,From Original GIS layer as of August 2008.,0,0
44,WBC0044,13040,07B5,Muscongus Bay - Hatchet Cove - Ram Island,1,1,0,0,0,0,0,0,0,,,,,0,0,0,471544,4868037,,,63-731,,,,,,,,,From Database; added 8/2008,0,0
45,WBC0045,15020,07D3,Linekin Bay - White Islands (Outer),1,1,0,0,0,0,0,0,0,,,,,0,1,0,453853,4848467,,,65-278,,,,,,,,,From Original GIS layer as of August 2008.,0,0
47,WBC0047,13803,08A4,Muscle Ridge Channel - Fisherman Island Passage - Marblehead Island,1,1,0,0,0,0,0,0,0,,,,,0,0,0,496652,4875891,,,63-403,,,,,,,,,From Original GIS layer as of August 2008.,0,0
100,WBC0100,31090,01B3,Great Creek - The Heath,0,0,0,1,1,1,1,0,0,,"Drive to end of Bradstreet Ln, Eliot ME.  Follow 4-wheeler trail up hill, to the left and into the woods.  Walk down to bog",,,0,0,0,354025,4777852,430800,704800,,BP,,5,,,,,,From Original GIS layer as of August 2008.,0,0
101,WBC0101,31090,01A3,York Pond (wetland to W),0,0,0,1,1,0,1,0,0,Beaver pond with many dead trees in flooded area. Aquatic shrubs & tussock sedge dispersed in pond. Nests on NW edge of pond.,"Drive to the end of Punkintown Rd (which is off Brixham Rd).  The north half of the wetland is owned by the town, so it is accessible.  Park at the end of Punkintown Rd and then walk a bit northwest to the wetland.",,,1,0,0,355397,4783096,430800,704730,,BP,,,,,,,29,From Original GIS layer as of August 2008.,0,0
102,WBC0102,31250,02E4,Boyd Brook (wetland between Brown Hill and Spring Hill),0,0,0,1,1,0,1,0,0,,"From N. Berwick, go 1.9 mi south from railroad tracks (Lower Main St becomes Boyd's Corner Rd), then right on Thurrell Rd for 0.9 mi to Thurrell Rd trailhead (Great Works Land Trust) on left. Path leads to beaver wetland where nests occur.",,,0,0,0,361400,4793000,361400,4793000,,,,,,,,,,From Original GIS layer as of August 2008.,0,0
103,WBC0103,31020,02C4,Carlisle Brook (S of Old Kennebunk Rd),0,0,0,0,1,0,1,0,0,,"Biddeford exit #32 from I-95, turn rt on Rte 111 W, follow approx 10 mi, take left on Clark Rd, go ~1 mi, at fork take left on Old Kennebunk Rd, go ~1 mi until rd becomes dirt (gate here - park and walk to access trails). Follow trail on right SW to col.","2nd access pt: same as 1st but at fork on Clark Rd stay rt on Old Kennebunk Rd, slight left on Church, at stop take left on Mouse Ln, go 1mi take left on Ida Jim Rd to Days Woods Rd on left (private rd, need permission).",,1,0,0,365153,4812614,432655,703956,,,,,,,,,,From Original GIS layer as of August 2008.,0,0
104,WBC0104,31230,02C2,Little River (wetland between Sacapee Pond and Deering Pond),0,0,1,1,1,0,1,0,0,,,,,0,0,0,350260,4814148,432650,705055,,BP,,,,,,,,From Original GIS layer as of August 2008.,0,0
105,WBC0105,31240,02A3,Pine Springs Lake (wetland to NW),0,0,0,0,0,0,0,0,0,,,,,0,0,0,352597.76517,4830902.29982,433700,704938,,BP,,3,,,,,,From Original GIS layer as of August 2008.,0,0
106,WBC0106,15090,13E3,Deer Meadow Pond,0,0,0,0,1,0,1,0,0,Beaver pond. Scrub-shrub habitat w/dead trees.,Private drive off Rte 213 to boat access on Deer Meadow Pond. Heronry in beaver pond wetland on NW end of pond.,,,1,0,0,458137,4888063,440900,693100,,BP,,0.2,,,,,36,From Original GIS layer as of August 2008.,0,0
107,WBC0107,11120,12D3,Tacoma Lakes - Woodbury Pond,0,0,0,0,0,0,0,0,0,,,,,0,0,0,424849,4894939,441215,695710,,U,,,,,,,,From DeLorme & Database; added 8/2008,0,0
108,WBC0108,11140,12D2,Cochnewagon Lake,0,0,0,0,0,0,0,0,0,,,,,0,0,0,415898,4897381,441318,700310,,U,,,,,,,,From DeLorme & Database; added 8/2008,0,0
109,WBC0109,17290,10D1,Shell Pond (unnamed wetland E of Deer Hill),0,0,0,1,1,0,1,0,0,"Beaver Pond. Nests in 12 dead spruce trees.  Pond with many dead trees, emergent shrubs, grasses, and sedges. Surrounding area is forested.",Rte 5 in Lovell N to Evergreen Valley Rd Heronry 150' S of road opposite deer hill on W end of beaver flowage.,Formerly known as Evergreen Valley,,0,0,0,342393,4899925,441405,705825,,BP,,,,,,,27,From Original GIS layer as of August 2008.,0,0
110,WBC0110,11260,12D3,Cobbosseecontee Lake - Pinkham Island,1,0,0,0,0,0,0,0,1,"Island forested w/white pine, red maple, beech and white ash.",South end of Cobbosseecontee Lake in W Gardiner. West side of island.,,,0,0,0,425883,4899926,441500,705500,,M/I,,10,,,,,18,From Original GIS layer as of August 2008.,0,0
111,WBC0111,09060,15B2,Cape Rosier - Fresh Pond,0,0,0,0,0,0,0,0,0,,,,,1,0,0,516566,4910231,442000,684800,,BP,,2,,,,,,From Original GIS layer as of August 2008.,0,0
112,WBC0112,01040,12C1,Androscoggin Lake - Lothrop Island,1,0,0,1,0,0,0,0,1,Superstory white pine on mixed forested island in large shallow lake.,"Lothrop Island in Androscoggin lake, NW side of island.",,,0,0,0,412313,4906587,442005,700608,,WP/I,,5,,,,,30,From Original GIS layer as of August 2008.,0,0
113,WBC0113,11250,12C1,Androscoggin Lake - Norris Island,1,0,0,0,0,0,0,0,0,,,,,0,0,0,413264,4907249,442030,700520,,WP,,,,,,,,From Original GIS layer as of August 2008.,0,0
114,WBC0114,07030,20E1,Little Norridgewock Stream (NE of Nash Brook inlet),0,0,0,0,0,0,0,0,0,,,,,0,0,0,409871,4930169,443105,700715,,WP,,,,,,,,From Original GIS layer as of August 2008.,0,0
115,WBC0115,27240,21E5,Kanokolus Bog,0,0,0,0,0,0,0,0,0,,,"Originally listed in database twice, all fields the same except habitat: 1 was BP, 1 was WP.",,0,0,0,470427,4933419,443312,692220,,BP/WP,,,,,,,,From Original GIS layer as of August 2008.,0,0
116,WBC0116,27080,22E3,Meadow Brook,0,0,0,0,0,0,0,0,0,,,,,0,0,0,487684,4935670,443430,690825,,,,,,,,,,From Original GIS layer as of August 2008.,0,0
117,WBC0117,11230,20E3,Flying Pond,0,0,0,0,0,0,0,0,0,,,,,0,0,0,421815,4930449,443500,700200,,WP,,,,,,,,Re-map from DeLorme; added 8/2008,0,0
118,WBC0118,11801,21D4,Fowler Bog (bog 2 miles to N),0,0,0,0,0,0,0,0,0,,,,,0,0,0,467088,4938240,443510,692525,,BP,,,,,,,,From Original GIS layer as of August 2008.,0,0
119,WBC0119,11200,20D4,Rome Trout Brook,0,0,1,1,1,0,1,0,0,,"From JCT of Rte 27 and Rte 225 in Rome, travel east on Rte 225, take left onto Mercer Rd, follow to Stoney End Farm (#441). From parking lot follow landowner's path to bog.",,,1,0,0,428374,4939852,443630,695405,,BP,,,Iwwh030700,,,,,From Original GIS layer as of August 2008.,0,0
120,WBC0120,25220,20C4,Mill Stream (NW of Wilder Hill),0,0,0,0,0,0,0,0,0,,,,,0,0,0,432838,4947805,444100,695100,,BP,,,,,,,,From Original GIS layer as of August 2008.,0,0
121,WBC0121,25310,20C3,Lemon Stream,0,0,0,0,0,0,0,0,0,,,,,0,0,0,425747,4954914,444400,695600,,BP,,,,,,,,From Original GIS layer as of August 2008.,0,0
122,WBC0122,27040,21C5,Beartrap Brook (wetland to W),0,0,0,0,0,0,0,0,0,,,,,0,0,0,471290,4952889,444445,692210,,WP,,,,,,,,From Original GIS layer as of August 2008.,0,0
123,WBC0123,29060,25B2,Bog Brook Flowage,0,0,0,0,1,0,1,0,0,,"From Rte 193, take Hatchery Rd (eastward) in Deblois. Following GPS or DeLorme, find Flynn Pond (irrigation pump house at shore). Kayak or canoe northeast over beaver dam, down stream ~0.5 mi to flowage. Paddle ~1 more mi to stand of dead snags on west side of flowage.",,,1,0,0,580019,4957758,444600,675900,,BP,,,Iwwh051009,,,,25,From Original GIS layer as of August 2008.,0,0
124,WBC0124,07130,20B1,Porter Lake (wetland to SW),0,0,0,0,0,0,0,0,0,,,,,0,0,0,408040,4961179,444800,701000,,BP,,,,,,,,From Original GIS layer as of August 2008.,0,0
125,WBC0125,29060,25B1,Horseshoe Pond,0,0,0,0,0,0,0,0,0,,,,,1,0,0,578500.24142,4964753.44952,445000,680000,,BP,,,,,,,,Not mapped,0,0
126,WBC0126,25230,21A5,Whites Pond,0,0,0,0,0,0,0,0,0,,,,,1,0,0,471121.3141,4967329.35378,445105,692145,,WP,,,,,,,,Not mapped,0,0
127,WBC0127,17816,18B2,Richardson Lake (upland N of Spaulding Cove),0,0,0,0,0,0,0,0,1,"Old growth withe pine, 65-75' high, 150-250 years old. Lower canopy is spruce-fir dead & dying from budworm.",SE flank of South Mtn near Upper Richardson Lake in 50-acre old growth white pine stand.,,,0,0,0,349903,4965099,445118,705341,,WP,,,,,,,38,From DeLorme & Database; added 8/2008,0,0
128,WBC0128,25170,20A5,Wesserunsett Lake,0,0,0,0,0,0,1,0,0,,"North end of Wesserunsett Lake along east side of marsh (Iwwh070508), westerly of Abanaki Campground.",,,1,0,0,438540,4967801,445147,694645,,BP,,,Iwwh070508,,,,,From Original GIS layer as of August 2008.,0,0
129,WBC0129,25110,20A4,Boynton Pond,0,0,0,0,0,0,0,0,0,,,,,1,0,0,429348,4973953,445445,695345,,WP,,,,,,,,From Original GIS layer as of August 2008.,0,0
130,WBC0130,19010,33D2,Pug Brook (SW of Pug Pond),0,0,0,0,0,0,0,0,0,,,"Originally listed in database twice, all fields the same except habitat: 1 was BP, 1 was WP.",,0,0,0,516981,4986667,450225,684654,,WP/BP,,,,,,,,From Original GIS layer as of August 2008.,0,0
131,WBC0131,17810,28C1,Aziscohos Lake (large island E of Hammel Brook inlet),1,0,1,1,0,1,0,0,1,,On island within Aziscohos Lake.,,,1,0,0,343456,4994164,450505,705920,,M/I,,,UMO-10910,,,,19,From Original GIS layer as of August 2008.,0,0
132,WBC0132,07823,28C4,Kennebago Lake - Norton Brook inlet,0,0,0,0,0,0,0,0,0,,,,,1,0,0,362560,4996986,450600,704500,,WP,,,,,,,,From Original GIS layer as of August 2008.,0,0
133,WBC0133,25040,31C1,Bryant Bog,0,0,0,0,0,0,1,0,0,,On east side of Rte 151 and about 0.4 miles south of the Mayfield town line.,,,0,0,0,445046,4993638,450600,694300,,BP,,,,,,,,From Original GIS layer as of August 2008.,0,0
134,WBC0134,19190,33C3,Hemlock Stream (South),0,0,0,1,0,1,0,0,1,"White pine stand near stream. Dense understory of shrubs, ferns & herbs. Many large, cut pine stumps.",Just north of Hemlock Stream. Park on I-95 S-bound. take rd/path to bridge over stream. Heronry is 500' on opposite side of stream.,,,0,0,0,522800,4998000,522800,4998000,,WP,,,,,,,37,From Original GIS layer as of August 2008.,0,0
135,WBC0135,19190,33C3,Hemlock Stream (Middle),0,0,0,0,0,0,0,0,0,,,,,0,0,0,522634,5000280,450915,684310,,WP,,,,,,,,From Original GIS layer as of August 2008.,0,0
136,WBC0136,19190,33B3,Hoyt Brook (wetland to NE of brook and E of I-95),0,0,0,0,0,0,0,0,0,,,,,0,0,0,524555,5002554,451015,684654,,WP,,,,,,,,From Original GIS layer as of August 2008.,0,0
137,WBC0137,21140,32A4,Sebec River,0,0,0,0,0,0,0,0,0,,,,,0,0,0,499035,5012117,451542,690042,,BP,,,,,,,,From Original GIS layer as of August 2008.,0,0
138,WBC0138,19310,33A3,Seboeis Stream - Pond Farm (1 mile to E),0,0,0,0,0,0,0,0,0,,,,,0,0,0,525417,5016293,451758,684037,,,,,,,,,,From Original GIS layer as of August 2008.,0,0
139,WBC0139,25821,40E5,Alder Stream,0,0,0,0,0,0,0,0,0,,,,,0,0,0,435297,5022446,452110,694915,,U,,,,,,,,From Original GIS layer as of August 2008.,0,0
140,WBC0140,19817,43E4,South Branch Stream,0,0,0,0,0,0,0,0,0,,,,,0,0,0,527123,5024753,452230,684000,,,,,,,,,,From Original GIS layer as of August 2008.,0,0
141,WBC0141,21080,41E5,Lake Onawa - Long Pond Stream,0,0,0,0,0,0,0,0,0,,,,,0,0,0,469077,5026909,452334,692327,,WP/I,,,,,,,,From Original GIS layer as of August 2008.,0,0
142,WBC0142,29808,45D3,Baskahegan Stream - Pleasant Brook,0,0,0,0,0,0,0,0,0,,,,,0,0,0,586243,5034704,452700,685400,,,,,,,,,,From Original GIS layer as of August 2008.,0,0
143,WBC0143,25813,,exact location unknown,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,453057,701600,,,,,,,,,,Not mapped,0,0
144,WBC0144,25816,40C4,Indian Pond (W side; N of Falls Brook),0,0,0,0,0,0,0,0,0,,,,,0,0,0,433011,5040943,453130,695042,,BP,,,,,,,,From Original GIS layer as of August 2008.,0,0
145,WBC0145,21801,40C5,Indian Pond (E side; N of Big Moose Mountain),0,0,0,0,0,0,0,0,0,,,,,0,0,0,440367,5041800,453140,694600,,WP,,,,,,,,From Original GIS layer as of August 2008.,0,0
146,WBC0146,21037,41C3,Mud Pond,0,0,0,0,0,0,0,0,0,,"From intersection of Pritham Ave. and Lily Bay Rd in Greenville (blinking yellow light), go 7.4 mi north on Lily Bay Rd. There is a trail on the east side of road that leads to Mud Pond. Go south along shore to black spruce bog and observation point.",,,1,0,0,458578,5044799,453400,693100,,WP/I,,,IFW-090015,,,,,From Original GIS layer as of August 2008.,0,0
147,WBC0147,19814,43B4,Rockabema Stream,0,0,0,0,0,0,0,0,0,,,,,1,0,0,532471,5049714,453600,683448,,BP,,,,,,,,From Original GIS layer as of August 2008.,0,0
148,WBC0148,25804,39B3,Long Pond (wetland to NW),0,0,0,0,0,0,0,0,0,,,,,1,0,0,394446,5051834,453643,702113,,,,,,,,,,From Original GIS layer as of August 2008.,0,0
149,WBC0149,25090,39B3,Gander Brook,0,0,0,0,0,0,0,0,0,,,,,0,0,0,395589,5058047,453957,702120,,,,,,,,,,From Original GIS layer as of August 2008.,0,0
150,WBC0150,21825,41A2,Moosehead Lake - Spencer Bay (inlet to NE of Lucky Pt),0,0,0,0,0,0,0,0,0,,,,,0,0,0,454222,5062046,454300,693500,,WP,,,,,,,,From Original GIS layer as of August 2008.,0,0
151,WBC0151,21837,50E5,West Branch Penobscot River - Pockwockamus Deadwater,0,0,0,0,0,0,0,0,0,,,,,1,0,0,505190,5071034,454730,695200,,WP,,,,,,,,From Original GIS layer as of August 2008.,0,0
152,WBC0152,19806,,exact location unknown,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,454900,684700,,BP,,,,,,,,Not mapped,0,0
153,WBC0153,21839,50D1,Grassy Pond (wetland to NW),0,0,0,0,0,0,0,0,0,,,,,0,0,0,479598,5077265,455000,691600,,WP,,,,,,,,From Original GIS layer as of August 2008.,0,0
154,WBC0154,25825,48D1,Penobscot Brook,0,0,0,0,0,0,0,0,0,,,,,0,0,0,412071,5080845,455305,700802,,H,,,,,,,,From Original GIS layer as of August 2008.,0,0
155,WBC0155,19831,57E2,Grand Lake Matagamon - Big Logan,0,0,0,0,0,0,0,0,0,,,,,0,0,0,515068,5115621,461145,684845,,WP/I,,,,,,,,From Original GIS layer as of August 2008.,0,0
156,WBC0156,19831,51A3,Marble Pond (wetland to N),0,0,0,0,0,0,0,0,0,,,"Originally listed in database three times, all fields the same except habitat: 1 was BP, 1 was WP, 1 was WP/I.",,0,0,0,522759,5108461,461200,684730,,BP,,,,,,,,From Original GIS layer as of August 2008.,0,0
157,WBC0157,19832,58E1,Lane Brook Meadows,0,0,0,0,0,0,0,0,0,,,,,1,0,0,538815.39138,5117718.18971,461200,684700,,WP,,,,,,,,Not mapped,0,0
158,WBC0158,25877,54C5,Desolation Brook (to S on NW side of knoll),0,0,0,0,0,0,0,0,0,,,Steve Olivieri: 2-3 nests in 1983,,0,0,0,438723,5131399,462030,694730,,WP,,,,,,,,From Original GIS layer as of August 2008.,0,0
159,WBC0159,03832,57A2,Chase Brook,0,0,0,0,0,0,0,0,0,,,,,1,0,0,514272,5152518,463000,684900,,U,,,,,,,,From Original GIS layer as of August 2008.,0,0
160,WBC0160,03853,61D2,Billy Jack Brook,0,0,0,1,0,1,0,1,1,,,,,0,0,0,451061,5175037,464300,693700,,,,,,,,,,From Original GIS layer as of August 2008.,0,0
